trade_date,open,high,low,close,pre_close,change,pct_chg,vol(股),amount(港元)
20250704,15.96,15.96,15.44,15.88,15.96,-0.08,-0.5,17040669.0,267534440.78
20250707,15.8,15.8,15.2,15.34,15.88,-0.54,-3.4,14885073.0,230079277.54
20250708,15.34,15.72,15.22,15.62,15.34,0.28,1.83,8920264.0,138818638.4
20250709,16.16,16.16,15.02,15.08,15.62,-0.54,-3.46,24706455.0,379619589.76
20250710,15.18,15.26,15.02,15.08,15.08,0.0,0.0,10725638.0,162077291.06
20250711,15.14,15.7,15.14,15.36,15.08,0.28,1.86,18364932.0,283639576.46
20250714,15.58,15.92,15.58,15.68,15.36,0.32,2.08,10309500.0,161958419.0
20250715,15.6,15.68,15.28,15.52,15.68,-0.16,-1.02,10358713.0,160222738.46
20250716,15.52,15.54,15.26,15.32,15.52,-0.2,-1.29,6285060.0,96526844.84
20250717,15.4,15.4,14.98,15.06,15.32,-0.26,-1.7,14786507.0,223683209.94
20250718,15.26,15.46,15.2,15.32,15.06,0.26,1.73,10530506.0,161332192.6
20250721,15.46,16.12,15.46,16.1,15.32,0.78,5.09,25326354.0,403006228.4
20250722,16.3,16.6,16.0,16.58,16.1,0.48,2.98,24014529.0,393810743.7
20250723,16.72,17.06,16.62,16.74,16.58,0.16,0.97,23656004.0,397766121.5
20250724,16.88,17.12,16.66,17.04,16.74,0.3,1.79,20000904.0,339500326.84
20250725,16.94,17.2,16.76,16.88,17.04,-0.16,-0.94,15422616.0,262300448.2
20250728,16.98,16.98,16.46,16.76,16.88,-0.12,-0.71,10196823.0,170399624.62
20250729,16.64,16.86,16.56,16.8,16.76,0.04,0.24,12311095.0,205905713.92
20250730,16.72,17.02,16.4,16.62,16.8,-0.18,-1.07,12651713.0,211558363.74
20250731,16.32,16.32,15.72,15.78,16.62,-0.84,-5.05,25454309.0,404877438.0
20250801,15.78,15.96,15.54,15.62,15.78,-0.16,-1.01,7768978.0,121933692.8
20250804,15.58,15.92,15.57,15.89,15.62,0.27,1.73,7710539.0,121761490.96
20250805,15.95,16.18,15.89,16.13,15.89,0.24,1.51,7871473.0,126364809.61
20250806,16.06,16.71,16.0,16.66,16.13,0.53,3.29,14751001.0,244359326.64
20250807,16.56,16.79,16.33,16.76,16.66,0.1,0.6,11450228.0,190459665.56
20250808,16.8,17.06,16.66,16.87,16.76,0.11,0.66,10451231.0,176556231.19
20250811,16.87,17.65,16.86,17.45,16.87,0.58,3.44,28127101.0,488850081.61
20250812,17.48,17.67,17.34,17.47,17.45,0.02,0.11,9835426.0,171895775.46
20250813,17.7,18.78,17.62,18.65,17.47,1.18,6.75,36713690.0,678123085.57
20250814,18.7,19.56,18.68,19.15,18.65,0.5,2.68,36353223.0,699489166.48
20250815,19.0,20.34,18.65,20.22,19.15,1.07,5.59,39189195.0,781086969.11
20250818,20.26,20.28,19.24,19.31,20.22,-0.91,-4.5,33018363.0,647359210.65
20250819,19.22,19.65,18.93,19.06,19.31,-0.25,-1.29,17821405.0,342825532.63
20250820,18.78,19.55,18.71,19.38,19.06,0.32,1.68,19822744.0,381611057.4
20250821,19.49,19.53,19.1,19.3,19.38,-0.08,-0.41,10124066.0,195669090.17
20250822,19.31,19.32,18.91,19.16,19.3,-0.14,-0.73,11567152.0,221117502.91
20250825,19.73,21.3,19.73,20.76,19.16,1.6,8.35,37898811.0,789262525.38
20250826,20.8,21.98,20.64,21.28,20.76,0.52,2.5,41041510.0,875633976.79
20250827,21.36,21.5,20.96,21.1,21.28,-0.18,-0.85,25016575.0,531188151.08
20250828,21.04,21.62,20.74,21.02,21.1,-0.08,-0.38,19372015.0,409918931.0
20250829,21.3,23.7,21.3,22.82,21.02,1.8,8.56,42980874.0,988247110.96
20250901,22.96,24.14,22.96,23.84,22.82,1.02,4.47,38879492.0,925081010.98
20250902,24.02,24.3,22.94,23.34,23.84,-0.5,-2.1,26009845.0,611885569.7
20250903,24.0,25.88,23.8,24.44,23.34,1.1,4.71,48914065.0,1216781577.88
20250904,24.34,25.28,23.64,23.8,24.44,-0.64,-2.62,26492020.0,641344718.6
20250905,23.82,24.72,23.68,24.56,23.8,0.76,3.19,23479475.0,570636933.74
20250908,24.8,24.98,23.94,24.2,24.56,-0.36,-1.47,20249370.0,494274691.8
20250909,24.54,24.84,23.82,24.2,24.2,0.0,0.0,16668746.0,404446924.68
20250910,24.2,24.42,23.58,24.38,24.2,0.18,0.74,16212155.0,390612141.04
20250911,24.5,25.48,24.2,25.18,24.38,0.8,3.28,28230848.0,708409397.92
20250912,25.56,27.4,25.56,26.96,25.18,1.78,7.07,36230254.0,969976288.44
20250915,26.96,26.98,26.22,26.5,26.96,-0.46,-1.71,16404593.0,436950618.96
20250916,27.3,27.7,25.0,25.86,26.5,-0.64,-2.42,26859161.0,690617384.0
20250917,26.1,26.14,24.94,25.84,25.86,-0.02,-0.08,25197964.0,643144301.8
20250918,25.26,25.56,24.5,25.06,25.84,-0.78,-3.02,24335903.0,608129465.82
20250919,25.0,25.78,24.8,25.38,25.06,0.32,1.28,21167591.0,537754771.53
20250922,25.8,25.88,24.28,24.78,25.38,-0.6,-2.36,18955242.0,468574686.12
20250923,24.76,25.2,24.34,24.72,24.78,-0.06,-0.24,10638518.0,262741421.36
20250924,24.74,25.02,24.16,24.8,24.72,0.08,0.32,10658514.0,262552525.08
20250925,26.9,27.7,26.2,26.72,24.8,1.92,7.74,44371932.0,1189595963.48
20250926,26.6,28.18,26.52,26.94,26.72,0.22,0.82,25575115.0,700180040.4
20250929,27.8,28.3,27.06,28.02,26.94,1.08,4.01,23372016.0,652319240.48
20250930,28.98,30.7,28.5,30.5,28.02,2.48,8.85,41717164.0,1254546678.06
20251002,30.0,31.84,30.0,31.48,30.5,0.98,3.21,15790328.0,497185666.7
20251003,31.14,32.82,31.0,32.82,31.48,1.34,4.26,15890285.0,513890509.78
20251006,33.02,34.24,33.02,33.2,32.82,0.38,1.16,16441385.0,551998336.62
20251008,33.2,35.74,33.02,35.2,33.2,2.0,6.02,27234652.0,950184758.08
20251009,35.4,39.36,33.84,38.08,35.2,2.88,8.18,75423428.0,2814331308.58
20251010,37.18,40.24,35.64,36.42,38.08,-1.66,-4.36,76177168.0,2857662331.88
20251013,34.88,36.14,34.0,35.7,36.42,-0.72,-1.98,63804891.0,2239884848.08
20251014,37.5,38.36,32.38,33.1,35.7,-2.6,-7.28,68349352.0,2362160841.86
20251015,33.5,34.22,32.22,34.12,33.1,1.02,3.08,33034092.0,1097017949.32
20251016,33.68,33.92,32.22,32.88,34.12,-1.24,-3.63,32899607.0,1082023925.76
20251017,33.36,33.6,31.02,31.32,32.88,-1.56,-4.74,39169235.0,1237583318.66
20251020,31.78,32.46,31.32,31.9,31.32,0.58,1.85,18687895.0,595058328.82
20251021,32.6,33.56,32.0,32.24,31.9,0.34,1.07,21778226.0,714063891.76
20251022,31.6,31.7,30.6,31.66,32.24,-0.58,-1.8,18653115.0,583808063.86
20251023,31.48,31.74,30.18,31.64,31.66,-0.02,-0.06,19064640.0,590493181.3
20251024,32.58,33.9,31.8,33.6,31.64,1.96,6.19,37017098.0,1227450127.22
20251027,34.9,35.58,34.0,35.06,33.6,1.46,4.35,36732477.0,1284250475.2
20251028,35.0,35.0,32.58,32.82,35.06,-2.24,-6.39,31679209.0,1056777060.0
20251030,34.84,35.68,33.76,34.5,32.82,1.68,5.12,45848003.0,1593056723.5
20251031,33.7,34.08,32.46,32.46,34.5,-2.04,-5.91,32410440.0,1070511172.6
20251103,32.08,32.8,30.72,31.66,32.46,-0.8,-2.46,27080225.0,849302852.22
20251104,31.02,31.34,29.44,29.86,31.222,-1.362,-4.36,26173864.0,784180735.4
20251105,29.16,31.2,28.78,30.8,29.86,0.94,3.15,24709208.0,750713480.52
20251106,31.2,31.88,31.0,31.74,30.8,0.94,3.05,20530562.0,647670867.2
20251107,31.2,31.84,30.72,31.66,31.74,-0.08,-0.25,14583536.0,458388253.25
20251110,31.88,32.5,31.3,32.02,31.66,0.36,1.14,13859793.0,441956481.98
20251111,32.4,32.8,31.54,31.94,32.02,-0.08,-0.25,11106111.0,354752857.1
