trade_date,open,high,low,close,pre_close,change,pct_chg,vol(手),amount(千元)
20250704,23.66,23.66,23.31,23.48,23.83,-0.35,-1.4687,312766.08,733866.219
20250707,23.35,23.5,23.23,23.27,23.48,-0.21,-0.8944,185375.11,432726.725
20250708,23.32,23.56,23.32,23.41,23.27,0.14,0.6016,180882.49,423970.5
20250709,23.83,23.86,22.86,22.91,23.41,-0.5,-2.1358,523719.23,1218291.944
20250710,22.9,23.14,22.85,23.06,22.91,0.15,0.6547,255618.5,588884.157
20250711,23.1,23.93,23.05,23.48,23.06,0.42,1.8213,538354.37,1264926.818
20250714,23.6,23.93,23.57,23.6,23.48,0.12,0.5111,333872.43,791954.79
20250715,23.46,23.76,23.3,23.41,23.6,-0.19,-0.8051,233235.44,548038.301
20250716,23.41,23.49,23.1,23.21,23.41,-0.2,-0.8543,159241.0,370118.531
20250717,23.2,23.27,23.07,23.17,23.21,-0.04,-0.1723,174001.55,402852.532
20250718,23.24,23.63,23.24,23.57,23.17,0.4,1.7264,272417.42,639340.471
20250721,23.7,24.47,23.68,24.4,23.57,0.83,3.5214,525095.36,1264865.655
20250722,23.73,24.1,23.5,24.09,23.7,0.39,1.6456,522196.68,1241541.269
20250723,24.09,24.11,23.73,23.84,24.09,-0.25,-1.0378,381874.55,913063.673
20250724,23.88,24.49,23.79,24.38,23.84,0.54,2.2651,437633.6,1059089.256
20250725,24.22,24.36,23.92,23.96,24.38,-0.42,-1.7227,292669.3,705234.235
20250728,23.74,23.91,23.51,23.89,23.96,-0.07,-0.2922,246391.83,585207.089
20250729,23.75,23.87,23.49,23.65,23.89,-0.24,-1.0046,227597.1,537839.798
20250730,23.66,23.85,23.28,23.45,23.65,-0.2,-0.8457,232150.43,548215.996
20250731,23.0,23.0,22.4,22.48,23.45,-0.97,-4.1365,486305.32,1101888.075
20250801,22.45,22.71,22.35,22.56,22.48,0.08,0.3559,210726.24,474528.669
