trade_date,A股收盘(元),A股涨跌%,A股成交量(手),港股收盘(港元),港股涨跌%,港股成交量(股),AH溢价%
20250704,23.48,-1.4687,312766.08,15.88,-0.5,17040669.0,60.72
20250707,23.27,-0.8944,185375.11,15.34,-3.4,14885073.0,64.89
20250708,23.41,0.6016,180882.49,15.62,1.83,8920264.0,62.9
20250709,22.91,-2.1358,523719.23,15.08,-3.46,24706455.0,65.13
20250710,23.06,0.6547,255618.5,15.08,0.0,10725638.0,66.21
20250711,23.48,1.8213,538354.37,15.36,1.86,18364932.0,66.16
20250714,23.6,0.5111,333872.43,15.68,2.08,10309500.0,63.6
20250715,23.41,-0.8051,233235.44,15.52,-1.02,10358713.0,63.95
20250716,23.21,-0.8543,159241.0,15.32,-1.29,6285060.0,64.68
20250717,23.17,-0.1723,174001.55,15.06,-1.7,14786507.0,67.23
20250718,23.57,1.7264,272417.42,15.32,1.73,10530506.0,67.23
20250721,24.4,3.5214,525095.36,16.1,5.09,25326354.0,64.73
20250722,24.09,1.6456,522196.68,16.58,2.98,24014529.0,57.93
20250723,23.84,-1.0378,381874.55,16.74,0.97,23656004.0,54.8
20250724,24.38,2.2651,437633.6,17.04,1.79,20000904.0,55.52
20250725,23.96,-1.7227,292669.3,16.88,-0.94,15422616.0,54.29
20250728,23.89,-0.2922,246391.83,16.76,-0.71,10196823.0,54.94
20250729,23.65,-1.0046,227597.1,16.8,0.24,12311095.0,53.02
20250730,23.45,-0.8457,232150.43,16.62,-1.07,12651713.0,53.36
20250731,22.48,-4.1365,486305.32,15.78,-5.05,25454309.0,54.85
20250801,22.56,0.3559,210726.24,15.62,-1.01,7768978.0,56.99
20250804,22.71,0.6649,198685.56,15.89,1.73,7710539.0,55.35
20250805,22.93,0.9687,220437.71,16.13,1.51,7871473.0,54.52
20250806,23.52,2.573,430894.77,16.66,3.29,14751001.0,53.45
20250807,23.46,-0.2551,269548.96,16.76,0.6,11450228.0,52.15
20250808,23.83,1.5772,343275.78,16.87,0.66,10451231.0,53.54
20250811,24.02,0.7973,317645.54,17.45,3.44,28127101.0,49.62
20250812,24.03,0.0416,215751.96,17.47,0.11,9835426.0,49.51
20250813,24.91,3.6621,548706.23,18.65,6.75,36713690.0,45.18
20250814,24.72,-0.7627,405297.81,19.15,2.68,36353223.0,40.31
20250815,25.34,2.5081,425190.97,20.22,5.59,39189195.0,36.22
20250818,24.88,-1.8153,480727.36,19.31,-4.5,33018363.0,40.05
20250819,24.51,-1.4871,345836.62,19.06,-1.29,17821405.0,39.78
20250820,24.82,1.2648,267708.61,19.38,1.68,19822744.0,39.21
20250821,24.64,-0.7252,223338.06,19.3,-0.41,10124066.0,38.77
20250822,24.72,0.3247,244671.47,19.16,-0.73,11567152.0,40.24
20250825,26.97,9.1019,935875.91,20.76,8.35,37898811.0,41.21
20250826,26.83,-0.5191,523271.14,21.28,2.5,41041510.0,37.04
20250827,26.09,-2.7581,441267.81,21.1,-0.85,25016575.0,34.4
20250828,26.08,-0.0383,413036.45,21.02,-0.38,19372015.0,34.86
20250829,27.9,6.9785,811375.83,22.82,8.56,42980874.0,32.89
20250901,28.96,3.7993,977491.45,23.84,4.47,38879492.0,32.04
20250902,29.0,0.1381,885579.58,23.34,-2.1,26009845.0,35.05
20250903,29.7,2.4138,986777.96,24.44,4.71,48914065.0,32.09
20250904,28.61,-3.67,822792.99,23.8,-2.62,26492020.0,30.66
20250905,29.39,2.7263,619337.86,24.56,3.19,23479475.0,30.07
20250908,28.53,-2.9262,563437.01,24.2,-1.47,20249370.0,28.14
20250909,28.66,0.4557,582406.34,24.2,0.0,16668746.0,28.73
20250910,28.6,-0.2094,450585.41,24.38,0.74,16212155.0,27.51
20250911,29.0,1.3986,453854.78,25.18,3.28,28230848.0,25.19
20250912,30.97,6.7931,909377.28,26.96,7.07,36230254.0,24.86
20250915,30.28,-2.228,589168.44,26.5,-1.71,16404593.0,24.2
20250916,30.06,-0.7266,679499.24,25.86,-2.42,26859161.0,26.35
20250917,31.06,3.3267,727006.05,25.84,-0.08,25197964.0,30.65
20250918,29.07,-6.407,792006.3,25.06,-3.02,24335903.0,26.09
20250919,29.0,-0.2408,394817.19,25.38,1.28,21167591.0,24.2
20250922,28.65,-1.2069,409901.0,24.78,-2.36,18955242.0,25.67
20250923,28.44,-0.733,365068.11,24.72,-0.24,10638518.0,25.05
20250924,28.52,0.2813,302896.98,24.8,0.32,10658514.0,25.0
20250925,30.26,6.101,1013714.15,26.72,7.74,44371932.0,23.1
20250926,31.3,3.4369,852109.5,26.94,0.82,25575115.0,26.29
20250929,32.26,3.0671,734323.63,28.02,4.01,23372016.0,25.14
20250930,35.49,10.0124,1037090.66,30.5,8.85,41717164.0,26.48
20251009,39.04,10.0028,354222.29,38.08,8.18,75423428.0,11.44
20251010,42.1,7.8381,1804480.05,36.42,-4.36,76177168.0,25.65
20251013,41.4,-1.6627,1545194.14,35.7,-1.98,63804891.0,26.05
20251014,38.58,-6.8116,1386753.91,33.1,-7.28,68349352.0,26.69
20251015,39.69,2.8771,799816.85,34.12,3.08,33034092.0,26.44
20251016,38.46,-3.099,609059.03,32.88,-3.63,32899607.0,27.14
20251017,37.32,-2.9641,681953.67,31.32,-4.74,39169235.0,29.52
20251020,37.21,-0.2947,585070.16,31.9,1.85,18687895.0,26.79
20251021,37.72,1.3706,531128.98,32.24,1.07,21778226.0,27.17
20251022,37.12,-1.5907,454769.06,31.66,-1.8,18653115.0,27.44
20251023,37.13,0.0269,388420.2,31.64,-0.06,19064640.0,27.56
20251024,39.09,5.2788,811941.98,33.6,6.19,37017098.0,26.46
20251027,41.53,6.242,968301.96,35.06,4.35,36732477.0,28.75
20251028,39.19,-5.6345,820747.99,32.82,-6.39,31679209.0,29.79
20251030,43.35,0.9548,1222189.36,34.5,5.12,45848003.0,36.58
20251031,41.09,-5.2134,755745.69,32.46,-5.91,32410440.0,37.59
20251103,39.91,-2.8717,633643.06,31.66,-2.46,27080225.0,37.02
20251104,38.6,-3.2824,467643.12,29.86,-4.36,26173864.0,40.51
20251105,39.17,1.4767,513749.9,30.8,3.15,24709208.0,38.23
20251106,39.95,1.9913,617775.76,31.74,3.05,20530562.0,36.81
20251107,39.87,-0.2003,452743.19,31.66,-0.25,14583536.0,36.88
20251110,40.25,0.9531,526068.38,32.02,1.14,13859793.0,36.63
20251111,39.27,-2.4348,477743.41,31.94,-0.25,11106111.0,33.64
20251112,39.02,-0.6366,340189.4,31.88,-0.19,13714044.0,33.04
20251113,40.47,3.716,642217.92,32.86,3.07,17767409.0,33.87
20251114,39.14,-3.2864,392919.95,31.76,-3.35,11279375.0,33.95
20251117,37.83,-3.347,437922.33,30.94,-2.58,13351040.0,32.9
20251118,36.96,-2.2998,368419.76,29.88,-3.43,15706574.0,34.45
20251119,37.4,1.1905,322371.16,30.3,1.41,7099282.0,34.17
20251120,37.12,-0.7487,257199.6,30.4,0.33,9633804.0,32.72
20251121,35.67,-3.9063,359338.31,29.24,-3.82,16701787.0,32.6
20251124,35.9,0.6448,230120.14,29.72,1.64,12371932.0,31.3
20251125,36.86,2.6741,297288.24,30.08,1.21,12585914.0,33.2
20251126,37.11,0.6782,257091.34,30.26,0.6,9591842.0,33.3
20251127,37.28,0.4581,294549.03,30.54,0.93,11999060.0,32.68
20251128,37.43,1.4913,203019.16,30.68,0.46,10653252.0,32.61
20251201,40.86,9.1638,897514.69,33.8,10.17,41633800.0,31.4
20251202,40.46,-0.979,509686.12,33.3,-1.48,13959321.0,32.07
20251203,40.47,0.0247,478388.21,33.66,1.08,16054655.0,30.69
20251204,41.11,1.5814,679404.54,34.02,1.07,27183386.0,31.35
20251205,43.32,5.3758,794337.97,36.1,6.11,35351653.0,30.43
20251208,44.74,3.2779,815408.2,35.92,-0.5,22653229.0,35.39
20251209,42.03,-6.0572,718089.25,33.58,-6.51,30760587.0,36.05
20251210,42.39,0.8565,430775.54,33.98,1.19,15686525.0,35.6
20251211,41.18,-2.8544,507626.27,33.42,-1.65,16262989.0,33.93
20251212,41.66,1.1656,441117.3,34.7,3.83,21762629.0,30.5
20251215,41.16,-1.2002,385757.89,34.66,-0.12,15403301.0,29.08
20251216,40.56,-1.4577,377135.46,33.88,-2.25,21635000.0,30.13
